coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,price_ma7,price_volatility,liquidity_ratio
Aergo,AERGO,5.300666407940358e-06,-0.004,0.012,-0.129,0.0001255229288261,79214487.0,2022-03-17,5.277156845079935e-06,3.3247542642673445e-08,19.92216706917079
Akash Network,AKT,2.644522547262445e-05,0.016,-0.001,0.019,3.030751596097896e-05,145104697.0,2022-03-16,2.644522547262445e-05,,1.1042910174379705
Akash Network,AKT,2.7658309211552368e-05,0.013,0.039,0.005,2.5691788978461907e-05,150977820.0,2022-03-17,2.705176734208841e-05,8.577797379430624e-07,0.896486557835916
Alchemix,ALCX,0.002308255738396,0.0279999999999999,-0.042,-0.125,0.0001481196095676,111651916.0,2022-03-16,0.002308255738396,,0.06414170899516018
Alchemix,ALCX,0.0023516841362496,-0.001,0.023,-0.144,0.0001204625135938,114928689.0,2022-03-17,0.0023299699373228,3.0708514618347696e-05,0.05120216170872329
Alchemix USD,ALUSD,2.419303846460564e-05,-0.001,-0.001,0.0,5.23472101274321e-05,208898318.0,2022-03-16,2.419303846460564e-05,,2.077844250544692
Alchemix USD,ALUSD,2.4232415162771235e-05,-0.0,0.0,0.001,2.464297509337566e-06,208931720.0,2022-03-17,2.4212726813688435e-05,2.784353029362924e-08,0.09766395699502735
Alchemy Pay,ACH,9.841740387221537e-07,0.018,0.035,-0.003,0.000161392008125,166194387.0,2022-03-16,9.841740387221537e-07,,81.33964308339583
Alchemy Pay,ACH,9.7058384385966e-07,0.005,-0.013,-0.045,0.0001178032043294,164599197.0,2022-03-17,9.773789412909068e-07,9.60971894491595e-09,59.78086377622289
Algorand,ALGO,1.773550258219495e-05,0.025,0.0139999999999999,-0.01,0.0026162464814393,4824820884.0,2022-03-16,1.773550258219495e-05,,139.64111557517634
Algorand,ALGO,1.8334474809128e-05,0.013,0.034,-0.017,0.0023877360634497,5010872275.0,2022-03-17,1.8034988695661475e-05,4.235373234067681e-07,123.49629803869438
Alien Worlds,TLM,2.342364716319239e-06,0.036,0.039,-0.002,0.0007660989503767,119120382.0,2022-03-16,2.342364716319239e-06,,229.20866374521876
Alien Worlds,TLM,2.4063172283123933e-06,0.008,0.0279999999999999,-0.019,0.0009240200841196,123122031.0,2022-03-17,2.374340972315816e-06,4.522125490427358e-08,271.2665973795374
AllianceBlock,ALBT,5.386940923452912e-06,0.025,0.075,0.046,1.0259641274857808e-05,85612394.0,2022-03-16,5.386940923452912e-06,,1.6063466685881345
